"all_exp","foodshortage_exp","foodshortagenew_exp","foodshortagerehab_exp","new_exp","newrehab_exp","rehab_exp","site","month","year","day","date"
0.000633795338217169,0.000528000004123896,0.269783020019531,0.000528036674950272,0.258776724338531,0.000101924459158909,8.5159918228328e-08,"Avoca",5,2011,15,2011-05-15
0.00253429589793086,0.000395999988541007,0.200536981225014,0.000423084740759805,0.19733501970768,0.00218345364555717,3.59903242497239e-05,"Avoca",6,2011,15,2011-06-15
0.0758395120501518,0.00435600010678172,0.232952564954758,0.0215770229697227,0.222876191139221,0.083959087729454,0.0281914807856083,"Avoca",7,2011,15,2011-07-15
0.00121952407062054,0.000461999996332452,0.24155592918396,0.000468594749690965,0.244406372308731,0.00155847589485347,7.86314649303677e-06,"Avoca",8,2011,15,2011-08-15
0.0924170017242432,0.0485100001096725,0.262327641248703,0.0581933706998825,0.220457822084427,0.0422375313937664,0.0135307842865586,"Avoca",9,2011,15,2011-09-15
0.12673744559288,0.0974820032715797,0.324575245380402,0.104254677891731,0.261519700288773,0.0526933595538139,0.00880099646747112,"Avoca",10,2011,15,2011-10-15
0.0475876927375793,0.00178199994843453,0.275723099708557,0.00844402424991131,NA,0.0479606427252293,0.0085676172748208,"Avoca",11,2011,15,2011-11-15
0.212825134396553,NA,NA,0.370769023895264,0.362867802381516,0.408828973770142,0.343603223562241,"Avoca",12,2011,15,2011-12-15
0.110970541834831,0.000264000002061948,0.376262426376343,0.0171654112637043,0.397196650505066,0.0567679964005947,0.0254217553883791,"Avoca",1,2012,15,2012-01-15
NA,0.000132000001030974,NA,0.00141078466549516,0.363426387310028,0.0224633011966944,NA,"Avoca",2,2012,15,2012-02-15
0.0967322438955307,0.000264000002061948,0.311386227607727,0.0105242691934109,0.432414293289185,0.0965593755245209,0.0296161100268364,"Avoca",3,2012,15,2012-03-15
0.0974197834730148,0.00303600006736815,0.262566894292831,0.0359433591365814,0.242855086922646,0.0891808494925499,NA,"Avoca",4,2012,15,2012-04-15
0.00688929855823517,6.6000000515487e-05,0.224008277058601,0.000121935307106469,0.245314672589302,NA,0.00017800260684453,"Avoca",5,2012,15,2012-05-15
0.0368710570037365,0.000264000002061948,0.202647626399994,0.00266088475473225,0.20765683054924,0.0196577627211809,0.00393074192106724,"Avoca",6,2012,15,2012-06-15
